R,0xB318C12C,
W,0x51CC29E8,37e0
R,0x88CE8DEB,
W,0x7E6490B5,1cf0
R,0x7552A494,
R,0x1D3D76AC,
W,0xCB07002D,ca37
R,0x711E9908,
R,0x346C8D8D,
R,0x786EC727,
R,0x12345678,
W,0xC457CCED,4fbe
R,0x0A264D44,
W,0x53BAB6C0,8cf4
W,0xD51DBD3A,9fa6
R,0x7215B7D0,
R,0xC2841BA8,
R,0x1BAB44E0,
R,0x40D8A6C7,
W,0x346C8D8D,89ea
R,0xADEEA14A,
R,0x965E713C,
R,0x93B96A43,
W,0xEC81A888,bdf6
R,0xABD72A9B,
W,0x3DD5A098,d550
W,0x1DBA27BA,95d9
W,0x58ADC65C,dfdb
W,0xD8565890,283e
W,0xE62A3DBA,deaf
W,0x71251063,73aa
R,0x63629967,
R,0xEB7011CD,
W,0x316E3AC5,36d6
W,0xE088062D,a486
R,0x010323DC,
W,0x14148E7C,4373
W,0x4028AC36,f488
R,0xC6533413,
R,0xD7E8A3CC,
R,0xB15578D3,
W,0xE088062D,569c
W,0x0AD0DA91,2e00
W,0x23768935,a9be
R,0x51CC29E8,
R,0x71251063,
R,0x817E2367,
W,0xDC7A0654,367d
R,0x79CD721B,
W,0x7552A494,45f9
R,0x96816BEE,
W,0x491CE86A,ee53
R,0xDE86D522,
R,0x50CEB034,
W,0x9A22E624,85fc
R,0xD7277B63,
R,0x2432B3A9,
W,0x93B96A43,a820
W,0x237E0A69,b390
R,0x24268165,
R,0xD727BDCE,
R,0xC6533413,
W,0x7215B7D0,bebb
R,0x1C0849B5,
W,0x35343A47,ba22
W,0xA2A6C496,674c
R,0x878E454E,
R,0x5EB64D4B,
R,0xC6376E8A,
R,0x5EB64D4B,
R,0x3E7ED12E,
R,0x5DC024B2,
R,0x5727A8A3,
W,0x3E7ED12E,30b0
W,0xE2CD7AA3,9b82
W,0x821BE4C4,73f7
R,0x3D60EAAE,
W,0xE2CD7AA3,19b0
R,0x316E3AC5,
R,0xB4A81B9E,
R,0xCB07002D,
R,0x12345678,
R,0x346C8D8D,
W,0x67BBD8EA,b951
R,0x1A5981E5,
W,0x2EDE8693,bd4c
R,0xC6376E8A,
W,0x4B8317A3,6fc1
R,0xC828557B,
R,0x19A89005,
W,0x507B4274,fae5
R,0x684A10D2,
R,0xC6533413,
R,0x553D8B72,
W,0x48B063BC,34db
W,0xA23C2809,b0a3
W,0x8D955BC0,8fa6
W,0x50CEB034,e64b
W,0x0AD0DA91,bd06
W,0x1B5971B7,b0ab
R,0xB2BE089E,
R,0xE9DE54ED,
R,0xAB8C4288,
R,0x67BBD8EA,
W,0x7215B7D0,67a7
R,0x301DC2DD,
W,0xE088062D,9e85
W,0x78D8EADC,aa29
W,0x4028AC36,67dd
W,0xCA69ECA1,b8cf
W,0x23768935,6cc9
W,0xEC1301ED,4982
R,0x00E78432,
R,0xE9D7B87B,
W,0x7215B7D0,73ff
R,0x491CE86A,
R,0x196746B3,
W,0x73375E48,72f1
W,0x3C29E9E6,fbff
W,0x403CEB49,cb88
W,0x988D0CA5,5521
W,0x9A22E624,f956
R,0x51CC29E8,
W,0x15098A15,5c7d
R,0x335DEDD3,
R,0x9B92BC52,
